CustomerID,CustomerName,Gender,Age,Occupation,AnnualIncome,State,City,CustomerSince
CUST100000,Geeta Mishra,Female,47,Salaried - Private,230000.00,Haryana,Faridabad,23-04-2012
CUST100001,Manoj Mishra,Male,47,Salaried - Government,531000.00,West Bengal,Kolkata,07-01-2016
CUST100002,Deepak Desai,Male,42,Salaried - Private,671000.00,Telangana,Warangal,13-01-2010
CUST100003,Pallavi Patel,Female,44,Self Employed,1127000.00,Kerala,Thrissur,27-06-2013
CUST100004,Karan Dubey,Male,21,Freelancer,696000.00,Kerala,Kochi,20-10-2023
CUST100005,Ashok Tiwari,Male,44,Salaried - Government,657000.00,Karnataka,Hubli,08-05-2021
CUST100006,Lakshmi Kapoor,Female,28,Retired,286000.00,Rajasthan,Jodhpur,05-02-2010
CUST100007,Gaurav Tiwari,Male,39,Student,60000.00,Haryana,Panipat,02-02-2007
CUST100008,Rahul Yadav,Male,59,Freelancer,410000.00,Haryana,Ambala,06-05-2014
CUST100009,Kavita Joshi,Female,27,Farmer,250000.00,West Bengal,Howrah,02-05-2011
CUST100010,Preeti Choudhury,Female,30,Retired,522000.00,Rajasthan,Jaipur,21-04-2007
CUST100011,Pallavi Yadav,Female,48,Salaried - Private,641000.00,West Bengal,Durgapur,23-11-2013
CUST100012,Gaurav Kapoor,Male,43,Business Owner,1177000.00,Karnataka,Hubli,06-06-2009
CUST100013,Arun Malhotra,Male,53,Self Employed,478000.00,Telangana,Hyderabad,24-06-2018
CUST100014,Ajay Mishra,Male,41,Business Owner,743000.00,Gujarat,Ahmedabad,27-01-2015
CUST100015,Vishal Trivedi,Male,49,Freelancer,426000.00,Kerala,Kozhikode,20-04-2010
CUST100016,Lakshmi Chopra,Female,39,Salaried - Government,422000.00,Telangana,Nizamabad,22-11-2018
CUST100017,Manoj Rastogi,Male,70,Salaried - Government,405000.00,Telangana,Karimnagar,20-05-2026
CUST100018,Deepak Joshi,Male,51,Retired,350000.00,Telangana,Nizamabad,04-01-2009
CUST100019,Rajesh Das,Male,36,Self Employed,652000.00,Telangana,Karimnagar,07-08-2011
CUST100020,Aarti Malhotra,Female,24,Professional (Doctor/Lawyer/CA),1228000.00,Maharashtra,Nashik,22-04-2024
CUST100021,Ajay Choudhury,Male,45,Student,60000.00,Odisha,Bhubaneswar,10-07-2005
CUST100022,Nisha Bhatt,Female,44,Salaried - Government,361000.00,Maharashtra,Mumbai,19-03-2013
CUST100023,Divya Dubey,Female,30,Retired,149000.00,Rajasthan,Udaipur,31-12-2006
CUST100024,Kalpana Shah,Female,37,Student,60000.00,Odisha,Rourkela,13-06-2024
CUST100025,Tarun Pillai,Male,40,Salaried - Private,746000.00,West Bengal,Siliguri,21-06-2013
CUST100026,Rajesh Sinha,Male,48,Salaried - Private,487000.00,Delhi,Saket,18-09-2021
CUST100027,Simran Iyer,Female,49,Homemaker,79000.00,Bihar,Bhagalpur,29-11-2010
CUST100028,Naveen Yadav,Male,41,Salaried - Government,668000.00,Madhya Pradesh,Indore,18-06-2009
CUST100029,Neha Sharma,Female,23,Salaried - Private,474000.00,Kerala,Kozhikode,27-08-2025
CUST100030,Naveen Sinha,Male,54,Salaried - Private,497000.00,Madhya Pradesh,Jabalpur,26-06-2023
CUST100031,Rajesh Tiwari,Male,30,Student,60000.00,Maharashtra,Nashik,18-02-2012
CUST100032,Manish Das,Male,35,Freelancer,274000.00,Uttar Pradesh,Kanpur,25-10-2023
CUST100033,Manisha Desai,Female,18,Salaried - Private,536000.00,Telangana,Karimnagar,25-12-2014
CUST100034,Kirti Bhatt,Female,55,Business Owner,1502000.00,Rajasthan,Kota,10-08-2005
CUST100035,Jyoti Yadav,Female,30,Freelancer,283000.00,Odisha,Puri,08-12-2018
CUST100036,Amit Mukherjee,Male,39,Salaried - Private,1106000.00,Tamil Nadu,Coimbatore,31-08-2022
CUST100037,Vijay Rao,Male,50,Salaried - Private,302000.00,Rajasthan,Jaipur,22-01-2026
CUST100038,Radhika Pillai,Female,41,Salaried - Government,486000.00,West Bengal,Siliguri,13-11-2010
CUST100039,Sunil Shah,Male,75,Homemaker,86000.00,Kerala,Thiruvananthapuram,20-02-2006
CUST100040,Deepak Dubey,Male,18,Farmer,197000.00,Gujarat,Surat,02-04-2021
CUST100041,Tanvi Verma,Female,42,Freelancer,662000.00,Rajasthan,Kota,02-06-2007
CUST100042,Ashok Mukherjee,Male,26,Homemaker,60000.00,Telangana,Hyderabad,27-12-2020
CUST100043,Neha Rao,Female,39,Salaried - Government,288000.00,Bihar,Patna,18-08-2014
CUST100044,Ajay Rastogi,Male,44,Retired,230000.00,Telangana,Nizamabad,11-10-2014
CUST100045,Anita Saxena,Female,44,Salaried - Private,423000.00,Karnataka,Mangaluru,16-08-2020
CUST100046,Sandeep Mukherjee,Male,32,Retired,205000.00,Kerala,Thiruvananthapuram,22-02-2013
CUST100047,Ritu Chopra,Female,38,Student,60000.00,Delhi,Saket,30-07-2014
CUST100048,Ramesh Sinha,Male,38,Retired,209000.00,Haryana,Panipat,14-05-2017
CUST100049,Kirti Bansal,Female,30,Student,60000.00,Delhi,Rohini,04-09-2011
CUST100050,Usha Joshi,Female,22,Freelancer,1037000.00,Odisha,Cuttack,18-10-2014
CUST100051,Manisha Pillai,Female,43,Business Owner,1943000.00,Gujarat,Ahmedabad,13-10-2011
CUST100052,Kirti Kapoor,Female,26,Professional (Doctor/Lawyer/CA),857000.00,Rajasthan,Kota,10-02-2014
CUST100053,Ashish Kumar,Male,31,Homemaker,0.00,Punjab,Jalandhar,24-03-2015
CUST100054,Ashok Menon,Male,51,Business Owner,1156000.00,Rajasthan,Jodhpur,26-10-2006
CUST100055,Sonia Banerjee,Female,49,Salaried - Private,348000.00,Karnataka,Hubli,01-10-2020
CUST100056,Sarika Trivedi,Female,48,Self Employed,284000.00,Tamil Nadu,Coimbatore,24-06-2006
CUST100057,Ravi Nair,Male,62,Salaried - Government,174000.00,Tamil Nadu,Trichy,17-05-2005
CUST100058,Manisha Kumar,Female,39,Salaried - Private,295000.00,Karnataka,Hubli,14-02-2012
CUST100059,Megha Chauhan,Female,59,Self Employed,568000.00,Rajasthan,Kota,24-07-2018
CUST100060,Karan Malhotra,Male,38,Student,60000.00,West Bengal,Kolkata,30-06-2022
CUST100061,Nikhil Das,Male,21,Salaried - Private,556000.00,Telangana,Karimnagar,03-06-2020
CUST100062,Pankaj Saxena,Male,45,Salaried - Government,602000.00,Bihar,Patna,06-04-2017
CUST100063,Kavita Chatterjee,Female,61,Student,60000.00,Maharashtra,Nagpur,03-11-2010
CUST100064,Priya Shah,Female,35,,567000.00,Gujarat,Vadodara,02-12-2013
CUST100065,Tarun Das,Male,18,Salaried - Government,590000.00,Rajasthan,Udaipur,06-05-2014
CUST100066,Gaurav Shah,Male,44,Student,60000.00,Delhi,Rohini,03-12-2021
